DistrictID,DistrictNm,RegionID,RegionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyCode,PartyNm,CalculationType,CalculationValue
2,Altona,7,Western Metropolitan,0,4,11,BYRNE,Emma-Jane,GRN,Australian Greens,Preference Count,4217
2,Altona,7,Western Metropolitan,0,4,11,BYRNE,Emma-Jane,GRN,Australian Greens,Preference Percent,8.99
2,Altona,7,Western Metropolitan,0,4,11,BYRNE,Emma-Jane,GRN,Australian Greens,Transfer Count,0
2,Altona,7,Western Metropolitan,0,4,11,BYRNE,Emma-Jane,GRN,Australian Greens,Transfer Percent,0
2,Altona,7,Western Metropolitan,0,5,12,HENNESSY,Jill,ALP,Australian Labor Party,Preference Count,24112
2,Altona,7,Western Metropolitan,0,5,12,HENNESSY,Jill,ALP,Australian Labor Party,Preference Percent,51.4
2,Altona,7,Western Metropolitan,0,5,12,HENNESSY,Jill,ALP,Australian Labor Party,Transfer Count,0
2,Altona,7,Western Metropolitan,0,5,12,HENNESSY,Jill,ALP,Australian Labor Party,Transfer Percent,0
3,Bass,2,Eastern Victoria,0,1,13,PAYNTER,Brian,LIB,Liberal,Preference Count,20315
3,Bass,2,Eastern Victoria,0,1,13,PAYNTER,Brian,LIB,Liberal,Preference Percent,40.97
3,Bass,2,Eastern Victoria,0,1,13,PAYNTER,Brian,LIB,Liberal,Transfer Count,0
3,Bass,2,Eastern Victoria,0,1,13,PAYNTER,Brian,LIB,Liberal,Transfer Percent,0
3,Bass,2,Eastern Victoria,0,2,14,LE SERVE,Clare,IND,Independent,Preference Count,2212
3,Bass,2,Eastern Victoria,0,2,14,LE SERVE,Clare,IND,Independent,Preference Percent,4.46
3,Bass,2,Eastern Victoria,0,2,14,LE SERVE,Clare,IND,Independent,Transfer Count,0
3,Bass,2,Eastern Victoria,0,2,14,LE SERVE,Clare,IND,Independent,Transfer Percent,0
3,Bass,2,Eastern Victoria,0,3,15,CRUGNALE,Jordan,ALP,Australian Labor Party,Preference Count,19954
3,Bass,2,Eastern Victoria,0,3,15,CRUGNALE,Jordan,ALP,Australian Labor Party,Preference Percent,40.24
3,Bass,2,Eastern Victoria,0,3,15,CRUGNALE,Jordan,ALP,Australian Labor Party,Transfer Count,0
3,Bass,2,Eastern Victoria,0,3,15,CRUGNALE,Jordan,ALP,Australian Labor Party,Transfer Percent,0
3,Bass,2,Eastern Victoria,0,4,16,MCPHEE,Ross,DLP,Labour DLP,Preference Count,1288
3,Bass,2,Eastern Victoria,0,4,16,MCPHEE,Ross,DLP,Labour DLP,Preference Percent,2.6
3,Bass,2,Eastern Victoria,0,4,16,MCPHEE,Ross,DLP,Labour DLP,Transfer Count,0
3,Bass,2,Eastern Victoria,0,4,16,MCPHEE,Ross,DLP,Labour DLP,Transfer Percent,0
3,Bass,2,Eastern Victoria,0,5,17,BAUER,Ron,IND,Independent,Preference Count,603
3,Bass,2,Eastern Victoria,0,5,17,BAUER,Ron,IND,Independent,Preference Percent,1.22
3,Bass,2,Eastern Victoria,0,5,17,BAUER,Ron,IND,Independent,Transfer Count,0
3,Bass,2,Eastern Victoria,0,5,17,BAUER,Ron,IND,Independent,Transfer Percent,0
3,Bass,2,Eastern Victoria,0,6,18,LEMPRIERE,Kate,IND,Independent,Preference Count,385
3,Bass,2,Eastern Victoria,0,6,18,LEMPRIERE,Kate,IND,Independent,Preference Percent,0.78
3,Bass,2,Eastern Victoria,0,6,18,LEMPRIERE,Kate,IND,Independent,Transfer Count,0
3,Bass,2,Eastern Victoria,0,6,18,LEMPRIERE,Kate,IND,Independent,Transfer Percent,0
3,Bass,2,Eastern Victoria,0,7,19,RIPA,Frank,SFF,"Shooters, Fishers & Farmers Vic",Preference Count,2011
3,Bass,2,Eastern Victoria,0,7,19,RIPA,Frank,SFF,"Shooters, Fishers & Farmers Vic",Preference Percent,4.06
3,Bass,2,Eastern Victoria,0,7,19,RIPA,Frank,SFF,"Shooters, Fishers & Farmers Vic",Transfer Count,0
3,Bass,2,Eastern Victoria,0,7,19,RIPA,Frank,SFF,"Shooters, Fishers & Farmers Vic",Transfer Percent,0
3,Bass,2,Eastern Victoria,0,8,20,ARNAULT,David,GRN,Australian Greens,Preference Count,2821
3,Bass,2,Eastern Victoria,0,8,20,ARNAULT,David,GRN,Australian Greens,Preference Percent,5.69
3,Bass,2,Eastern Victoria,0,8,20,ARNAULT,David,GRN,Australian Greens,Transfer Count,0
3,Bass,2,Eastern Victoria,0,8,20,ARNAULT,David,GRN,Australian Greens,Transfer Percent,0
3,Bass,2,Eastern Victoria,1,1,13,PAYNTER,Brian,LIB,Liberal,Preference Count,20362
3,Bass,2,Eastern Victoria,1,1,13,PAYNTER,Brian,LIB,Liberal,Preference Percent,41.06
3,Bass,2,Eastern Victoria,1,1,13,PAYNTER,Brian,LIB,Liberal,Transfer Count,47
3,Bass,2,Eastern Victoria,1,1,13,PAYNTER,Brian,LIB,Liberal,Transfer Percent,12.21
3,Bass,2,Eastern Victoria,1,2,14,LE SERVE,Clare,IND,Independent,Preference Count,2330
3,Bass,2,Eastern Victoria,1,2,14,LE SERVE,Clare,IND,Independent,Preference Percent,4.7
3,Bass,2,Eastern Victoria,1,2,14,LE SERVE,Clare,IND,Independent,Transfer Count,118
3,Bass,2,Eastern Victoria,1,2,14,LE SERVE,Clare,IND,Independent,Transfer Percent,30.65
3,Bass,2,Eastern Victoria,1,3,15,CRUGNALE,Jordan,ALP,Australian Labor Party,Preference Count,19995
