District,0-11 years,12-17 years,18-24 years,25-34 years,35-49 years,50-59 years,60-84 years,BachAbv,Diploma,Vocational,None,FullTime,PartTime,Unemployed,Owned,Mortgage,SocHousing,Renting,Agriculture,Mining,Transformative,Hospitality,Distributive,Digital,Finance,PMEdT,SocServ,EngOnly,OtherLang,Managers,Professionals,Technicians,Services,Admin,Sales,MachOp,Labourers,Swing2pp,Incumbent
Southern River,19.56,8.67,9.58,15.48,23.1,10.7,12.91,22.33,9.62,21.5,46.55,58.56,32.42,9.02,23.02,57.24,1.41,18.33,0.74,4.12,19.63,7.15,23.77,4.6,4.17,14.25,21.57,66.03,33.97,9.68,18.02,16.8,10.99,14.93,10.53,8.73,10.32,-12.9,LaborGain
Swan Hills,19.03,8.54,8.89,15.66,22.59,11.79,13.51,15.23,10.98,28.65,45.14,59.3,33.17,7.52,21.44,61.78,1.57,15.21,2.21,5.72,21.02,5.86,22.02,4.49,4.31,13.21,21.16,87.09,12.91,12.11,14.44,18.35,11.84,15.51,9.29,8.99,9.47,-0.9,LaborGain
Thornlie,16.25,7.24,9.26,15.47,19.89,11.45,20.44,15.33,9.17,23.32,52.19,55.66,33.15,11.19,30.04,44.66,4.28,21.01,0.61,3.31,21.15,7.16,24.69,5.1,3.91,12.37,21.7,68.82,31.18,7.25,12.95,18.41,11.81,14.38,9.91,11.42,13.86,-1,Labor
Vasse,17.22,8.14,5.7,10.4,20.81,12.79,24.93,17.41,10.23,27.57,44.79,50.61,43.57,5.82,35.27,36.64,4.23,23.86,6.43,4.01,20.86,11.25,17.2,5.74,3.81,13.54,17.17,94.86,5.14,14.33,15.63,17.96,11.02,11.27,10.8,6.12,12.88,3.8,LibNat
Victoria Park,11.77,3.97,14.93,23.69,19.51,9.47,16.65,35.16,10.6,15.44,38.79,54.74,34.53,10.74,21.03,29.4,8.58,40.99,0.54,4.27,13.81,11.13,16.95,6.31,4.73,19.98,22.27,64.23,35.77,10.68,27.41,13.81,11.75,12.47,8.61,5.05,10.22,3,LaborRetiring
Wanneroo,19.45,8.11,9.27,16.14,21.77,10.88,14.38,17.08,10.83,27.19,44.89,57.87,34.3,7.83,22.15,58.35,1.98,17.52,1.85,4.11,22.48,6.02,19.44,4.98,4.5,13.54,23.07,83.91,16.09,10.67,16.22,19.19,11.77,15.39,9.77,6.81,10.17,-5.7,LaborGain
Warnbro,20.13,10.27,9.79,13.01,22.5,12.15,12.15,11.92,10.17,30.58,47.33,55.72,33.75,10.53,19.24,56.46,1.85,22.45,0.74,6.03,23.15,6.6,18.7,4.47,3.91,13.78,22.63,93.88,6.12,9.45,13.79,20.21,13.22,12.87,10.74,8.47,11.23,4.4,Labor
Warren-Blackwood,14.7,7.91,5.11,9.38,19.34,15.46,28.1,17.34,10.02,25.43,47.2,51.06,43.37,5.57,41.4,32.71,3.74,22.15,16.36,3.35,18.72,9.2,15.07,4.12,2.58,13.3,17.3,94.08,5.92,19.38,14.51,15.08,10.17,10.05,8.64,6.98,15.18,0,LibNat
West Swan,17.62,8.81,10.36,16.2,21.21,12.35,13.47,16.07,10.15,24.47,49.31,58.88,32.74,8.38,22.51,59.43,2.54,15.52,0.8,4.26,20.7,7.37,23.55,4.73,4.41,13.19,20.98,73.03,26.97,10.01,14.19,17.46,12.29,15.48,11.09,9.17,10.32,-1.6,Labor
Willagee,12.89,6.58,9.97,13.92,19.34,13.28,24.02,21.78,9.46,22.12,46.63,55.08,36.22,8.7,34.48,39.89,6.55,19.07,0.81,2.95,20.05,6.09,20.69,4.41,3.88,18.36,22.77,78.87,21.13,10.32,21.43,16.81,10.98,14.6,9.53,6.55,9.78,4.6,Labor
