DivisionNm,2019,Margin,Age20_24,Age25_34,Age35_44,Age45_54,Age55_64,Age65plus,EnglishOnly,Indigenous,HighestEduc_Bach,HighestEduc_DipCert,HighestEduc_NoTertiary,HighestEduc_PGrad,CurrentlyStudying,Industry_Distributive,Industry_Extractive,Industry_Finance,Industry_InfoProf,Industry_SocialServ,Industry_Transformative,Married,Occup_Admin,Occup_Laborer,Occup_MachOp,Occup_Manager,Occup_Professional,Occup_Sales,Occup_Service,Occup_Tradesperson,Relig_Christian,Relig_Catholic,Relig_Other,Relig_None,Tenure_Mortgage,Tenure_Owned,Tenure_PublicHousing,Tenure_Renting,Unemployed
Fenner,0.3944,0.1056,7.311724198,18.31951694,16.89036069,11.85285904,8.54935158,9.157565391,71.45593122,1.807096802,20.79935357,25.66881208,32.99535744,13.49006033,33.0562744,11.23491644,0.78432768,1.707418422,11.09611236,20.84808329,8.238235664,50.93346111,17.66293818,5.533620314,2.494231818,14.35520788,27.53914619,7.464460757,11.21171235,11.13800934,23.43012121,22.35112651,20.52794713,33.69080515,46.54668067,21.42314487,4.578647373,29.84786196,4.749353773
Fisher,0.627,0.127,5.185719685,10.28966086,12.35817613,13.60821908,12.93200014,21.47407484,94.93932615,1.915266467,11.53594798,34.07587245,40.41328897,4.318553614,28.20671408,16.67974354,4.346726881,2.650357674,6.005324475,24.75003702,17.3077889,49.93567535,13.02213597,10.81560178,5.498568262,11.41653445,17.87633836,11.32741737,12.24675274,16.24036754,37.03879325,18.60701646,11.75205305,32.60213724,33.43948839,33.55075336,1.988080451,29.22715383,7.279044772
Flinders,0.5564,0.0564,4.814252944,9.157267551,11.41891842,13.36396749,13.62780233,25.1375972,94.46061657,0.858196103,11.06630129,33.39648536,40.24060197,4.508580432,26.51759998,17.14290108,2.667694752,1.577985551,6.562800014,23.61124037,20.37476866,49.80574191,11.72809946,9.847867497,4.364127671,13.07226362,17.32173732,10.91646957,12.13485412,18.35088466,29.53924177,20.48824103,11.20272043,38.76979677,36.10130082,38.290957,1.460110809,21.3748484,5.287032518
Flynn,0.5866,0.0866,5.5465126,13.22902124,13.18784541,14.4771635,12.48592623,12.98196628,94.80031758,5.284016702,7.562439366,31.6455863,45.93433112,2.045296244,30.60908056,16.92212858,21.13645192,0.699989736,3.837223143,17.13284702,16.00822374,50.70222115,10.65246959,14.07869498,13.56084269,13.23652609,11.82348126,8.056497283,9.239309766,17.48741686,40.15029177,21.59028765,13.63949277,24.61992781,33.68038152,28.23072813,2.848070589,34.3385812,9.16141632
Forde,0.586,0.086,6.718492061,14.13032386,13.94783444,12.64879791,10.56997929,12.57976408,88.28987796,2.865804244,8.590922255,34.09371782,44.97631879,2.812342195,30.45292193,20.78508955,1.823582127,2.087982343,5.444418962,20.45647533,22.26915847,45.86080571,14.68986507,13.05469699,9.851175414,9.807306639,12.94807886,10.24109676,11.0813175,16.5931603,36.06807336,18.9134676,13.78455443,31.23390461,41.08107802,21.35729871,2.771939192,34.62197686,8.521309242
Forrest,0.6458,0.1458,4.582903871,11.67841858,13.55690405,13.92277186,12.91185726,16.51456304,92.77925732,2.209541232,10.43206939,33.76852816,41.25490147,3.170094426,29.56566849,16.26900691,11.73231238,1.280886909,4.075895255,20.57100678,20.16608862,51.18908394,11.10212582,13.57537129,8.703852973,11.47961044,14.76971457,9.842892034,10.34170822,18.42661141,31.68169501,19.21761626,13.25110409,35.84958464,39.95248124,30.3403575,2.996781436,26.36718868,6.929242804
Fowler,0.3601,0.1399,7.724616282,14.46899855,12.82989838,13.36282307,12.31868773,13.39322274,26.95592674,0.798456442,10.0230275,21.17000294,56.34497739,2.591428091,32.2472175,21.16192179,0.999390039,3.956557654,5.853719542,16.92284774,21.22900103,46.02595754,13.43231783,14.94562288,12.01860551,7.685427531,14.54714939,9.293999962,10.57070501,14.6645885,20.64137084,26.77713945,39.44883551,13.1326542,28.29472362,30.55830795,7.556818295,36.90667846,10.7994069
Franklin,0.3779,0.1221,4.902809804,10.9543733,12.35562326,13.56280584,14.25456215,19.68427533,95.03313945,4.676397859,13.36087194,30.53683417,40.50975604,6.06664385,28.04273656,15.59861136,6.192384852,2.499290482,7.284170674,25.43542153,13.76085559,48.40254381,15.08260177,10.07861622,4.437644975,12.08158612,20.62901765,9.489401151,12.36989833,14.1041252,32.541761,16.81082604,11.21521655,39.4321964,38.18078665,37.18847631,3.787417979,21.5311729,5.614004153
Fraser,0.3194,0.1806,8.63645972,20.24486251,14.89513646,11.88320184,9.948753692,12.33110714,39.7994202,0.405057216,16.3862135,20.41419469,45.6173012,7.139370886,32.31031153,20.39812591,1.258969094,4.121938147,8.435955175,18.9143102,15.41222676,41.05542167,12.13259101,14.29196215,9.614835025,9.248594694,19.56166082,9.173797148,10.94026542,12.3591064,16.67076103,24.43540509,33.45921148,25.43462239,30.31319182,28.98888532,3.332515601,36.34457833,10.88171301
Fremantle,0.4308,0.0692,6.160880813,15.66826438,15.16020563,13.9542346,11.27355621,13.36395056,79.6444271,1.403178041,17.17297318,29.16348071,36.43399402,7.1921685,30.17735261,16.83505805,5.776454518,2.187122296,7.863851687,25.1369773,16.30579425,47.3447994,13.29170011,8.346208082,5.773441791,11.82232189,24.46619453,8.576239538,10.38140424,15.86119335,22.52772597,27.86100582,14.85670738,34.75456083,43.6489881,27.58485749,3.94725867,25.95561926,7.499315458
Gellibrand,0.3698,0.1302,5.574757071,17.42127556,17.50368946,12.81184716,8.965865314,10.28320993,60.90068992,0.560286724,19.52679526,24.49316668,36.42465554,10.65630767,30.77296569,20.7216637,1.529465977,5.451894388,11.27965708,20.09278086,15.07026395,52.23751905,14.63650267,7.656967588,7.175282559,14.03499192,24.42181912,8.915534222,9.542731283,11.90104113,21.0065995,24.72927993,25.68247012,28.58165045,42.25552118,25.14058127,1.533431223,29.4800827,6.947350936
Gilmore,0.4739,0.0261,4.451723517,8.852078427,10.13095659,12.51459335,15.9215995,26.59359427,95.62259794,4.949398587,9.741672242,34.1048388,39.13208554,4.324175977,27.39014123,16.26324465,2.887366132,1.30093926,5.014330427,24.58551632,15.48294969,50.586479,11.48603767,10.89816672,5.370188553,11.73829936,17.59500142,10.74511325,13.68709645,16.66278769,37.30161377,21.3186388,12.10297738,29.27677005,27.4865875,44.06507837,2.852302926,23.92019512,6.734101416
Gippsland,0.6667,0.1667,5.325651994,10.96660687,10.92728025,13.174417,14.77300952,21.59790258,94.64781512,1.96012143,8.258294821,32.00475098,42.907215,3.267511717,28.76362633,16.10771778,12.02202601,1.208540488,3.734064462,23.34701575,15.50651952,48.4587277,11.81594325,12.89277023,7.271883432,12.93327139,15.16798688,9.95774315,12.36225154,16.12813856,31.04526011,20.27804609,13.64081689,35.03587691,33.41727501,39.1819576,3.018068006,23.21390936,7.843904374
Goldstein,0.5779,0.0779,5.446668458,10.30561526,13.33221386,15.79728641,12.42813004,17.72367007,79.05598776,0.123589468,26.55525616,20.76099381,31.32942216,13.29996815,31.40784524,15.50387928,1.177548274,6.538670114,17.443207,24.41371975,11.27228345,52.50198687,12.90659829,3.595873725,1.532138963,20.69033257,33.9586461,9.403616807,8.756461915,7.401263109,23.7761956,20.99543256,20.31770553,34.91066631,32.93055174,38.60790082,1.600149006,25.43168694,5.01861432
Gorton,0.3574,0.1426,6.850715089,15.06733087,16.02635385,13.29519524,10.20600996,9.881407681,48.27399404,0.423589908,14.1273829,26.03204467,45.94778328,4.596362147,33.05286839,24.23776458,1.143349351,4.222450945,6.689381463,18.64824387,18.7446845,53.29593754,15.31481572,11.50594167,10.72796638,10.02783609,15.83274374,10.51307874,10.1183516,13.66613604,22.59938936,34.95098827,26.68616423,15.76345814,48.20362436,28.67122476,1.016309999,19.56598564,8.093084364
